ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2019-12-20,35,1,35451,4.4,4.4,4.25,4.25,46,ESZ9-ESM0
2019-12-19,35,1,35451,3.25,5.0,3.25,4.6,65,ESZ9-ESM0
2019-12-18,35,1,35451,3.25,4.45,3.1,4.35,22,ESZ9-ESM0
2019-12-17,35,1,35451,3.55,4.35,3.5,3.55,256,ESZ9-ESM0
2019-12-16,35,1,35451,3.75,4.4,3.75,4.4,222,ESZ9-ESM0
2019-12-13,35,1,35451,2.7,3.7,2.25,2.8,1043,ESZ9-ESM0
2019-12-12,35,1,35451,2.75,3.3,2.25,2.65,81,ESZ9-ESM0
2019-12-11,35,1,35451,1.95,2.55,1.95,2.35,72,ESZ9-ESM0
2019-12-10,35,1,35451,1.75,2.2,1.75,1.8,121,ESZ9-ESM0
2019-12-09,35,1,35451,2.0,2.0,1.85,1.85,23,ESZ9-ESM0
2019-12-06,35,1,35451,0.35,1.35,0.15,1.05,19,ESZ9-ESM0
2019-12-05,35,1,35451,1.0,1.95,1.0,1.3,35,ESZ9-ESM0
2019-12-04,35,1,35451,0.25,1.15,0.1,0.85,135,ESZ9-ESM0
2019-12-03,35,1,35451,1.5,1.9,0.55,0.7,206,ESZ9-ESM0
2019-12-02,35,1,35451,1.8,1.95,0.1,1.5,594,ESZ9-ESM0
2019-11-29,35,1,35451,2.0,2.0,2.0,2.0,2,ESZ9-ESM0
2019-11-27,35,1,35451,0.15,1.9,0.1,1.9,13,ESZ9-ESM0
2019-11-26,35,1,35451,2.8,2.8,1.55,2.15,6,ESZ9-ESM0
2019-11-25,35,1,35451,2.25,2.25,1.75,2.0,6,ESZ9-ESM0
2019-11-21,35,1,35451,2.4,2.4,1.6,1.6,8,ESZ9-ESM0
2019-11-20,35,1,35451,2.45,2.45,0.05,1.6,57,ESZ9-ESM0
2019-11-19,35,1,35451,2.75,3.0,1.95,2.0,25,ESZ9-ESM0
2019-11-18,35,1,35451,3.1,3.1,3.05,3.05,2,ESZ9-ESM0
2019-11-15,35,1,35451,3.0,3.15,2.25,2.35,10,ESZ9-ESM0
2019-11-13,35,1,35451,3.1,3.1,2.75,2.75,3,ESZ9-ESM0
2019-11-08,35,1,35451,1.75,2.05,1.5,2.05,5,ESZ9-ESM0
2019-11-07,35,1,35451,2.2,2.45,1.75,2.2,12,ESZ9-ESM0
2019-11-06,35,1,35451,1.6,1.6,1.6,1.6,1,ESZ9-ESM0
2019-11-05,35,1,35451,1.95,1.95,1.95,1.95,1,ESZ9-ESM0
2019-11-04,35,1,35451,0.85,1.5,0.85,1.45,8,ESZ9-ESM0
2019-11-01,35,1,35451,-0.15,1.05,-0.15,1.05,4,ESZ9-ESM0
2019-10-30,35,1,35451,0.15,1.6,0.15,1.55,5,ESZ9-ESM0
2019-10-29,35,1,35451,1.95,1.95,1.55,1.55,7,ESZ9-ESM0
2019-10-28,35,1,35451,0.15,1.7,0.15,1.35,5,ESZ9-ESM0
2019-10-25,35,1,35451,1.65,1.65,1.0,1.15,14,ESZ9-ESM0
2019-10-23,35,1,35451,0.75,0.85,0.75,0.85,3,ESZ9-ESM0
2019-10-22,35,1,35451,0.7,0.85,0.7,0.8,155,ESZ9-ESM0
2019-10-21,35,1,35451,0.7,0.9,0.7,0.85,238,ESZ9-ESM0
2019-10-18,35,1,35451,0.65,0.65,0.6,0.6,2,ESZ9-ESM0
2019-10-17,35,1,35451,0.15,1.0,0.15,0.75,4,ESZ9-ESM0
2019-10-16,35,1,35451,0.7,0.7,0.6,0.6,31,ESZ9-ESM0
2019-10-15,35,1,35451,0.1,0.6,0.1,0.6,5,ESZ9-ESM0
2019-10-14,35,1,35451,0.5,0.5,0.45,0.45,8,ESZ9-ESM0
2019-10-13,35,1,35451,0.65,0.65,0.65,0.65,1,ESZ9-ESM0
2019-10-11,35,1,35451,-2.1,0.75,-2.15,0.25,69,ESZ9-ESM0
2019-10-10,35,1,35451,-1.25,-0.95,-1.4,-1.35,42,ESZ9-ESM0
2019-10-09,35,1,35451,-1.7,-1.45,-1.9,-1.9,365,ESZ9-ESM0
2019-10-08,35,1,35451,-1.55,-1.55,-2.0,-2.0,16,ESZ9-ESM0
2019-10-07,35,1,35451,-1.45,-1.25,-1.45,-1.25,2,ESZ9-ESM0
2019-10-04,35,1,35451,-1.15,-0.4,-1.9,-1.35,29,ESZ9-ESM0
2019-10-03,35,1,35451,-1.45,-1.3,-1.65,-1.65,4,ESZ9-ESM0
2019-10-02,35,1,35451,0.1,0.1,-1.25,-1.0,365,ESZ9-ESM0
2019-10-01,35,1,35451,0.7,0.7,0.35,0.35,301,ESZ9-ESM0
2019-09-26,35,1,35451,1.9,1.9,1.9,1.9,2,ESZ9-ESM0
2019-09-25,35,1,35451,0.7,2.25,0.7,2.25,9,ESZ9-ESM0
2019-09-20,35,1,35451,1.75,2.0,1.75,2.0,2,ESZ9-ESM0
2019-09-13,35,1,35451,2.0,2.0,2.0,2.0,1,ESZ9-ESM0
2019-08-01,35,1,35451,2.75,2.75,2.75,2.75,4,ESZ9-ESM0
2019-06-05,35,1,35451,0.0,0.0,0.0,0.0,1,ESZ9-ESM0
2019-05-30,35,1,35451,5.0,5.0,5.0,5.0,1,ESZ9-ESM0
2019-03-15,35,1,18720,2809.5,2821.5,2809.5,2813.25,21258,ESH9
2019-03-14,35,1,18720,2814.75,2820.0,2803.75,2809.5,149796,ESH9
2019-03-13,35,1,18720,2790.75,2821.25,2783.0,2814.75,238112,ESH9
2019-03-12,35,1,18720,2791.75,2798.25,2780.5,2790.5,280027,ESH9
2019-03-11,35,1,18720,2743.75,2794.0,2736.75,2791.5,409599,ESH9
2019-03-10,35,1,18720,2745.5,2748.25,2742.5,2743.75,10517,ESH9
2019-03-08,35,1,18720,2751.0,2751.5,2722.0,2748.75,860155,ESH9
2019-03-07,35,1,18720,2768.0,2776.25,2738.5,2751.25,1555183,ESH9
2019-03-06,35,1,18720,2786.5,2792.75,2766.25,2768.0,1358066,ESH9
2019-03-05,35,1,18720,2791.0,2799.0,2783.25,2786.5,1151491,ESH9
2019-03-04,35,1,18720,2817.5,2818.5,2767.5,2790.75,1695178,ESH9
2019-03-03,35,1,18720,2814.0,2819.75,2811.75,2817.5,22815,ESH9
2019-03-01,35,1,18720,2785.25,2808.25,2785.0,2807.0,1204827,ESH9
2019-02-28,35,1,18720,2794.75,2794.75,2781.75,2785.25,1281811,ESH9
2019-02-27,35,1,18720,2789.0,2797.25,2775.0,2794.75,1107109,ESH9
2019-02-26,35,1,18720,2794.5,2803.5,2783.25,2788.75,1151516,ESH9
2019-02-25,35,1,18720,2800.75,2814.0,2791.5,2794.5,1191002,ESH9
2019-02-24,35,1,18720,2799.5,2803.5,2797.75,2800.75,21193,ESH9
2019-02-22,35,1,18720,2774.5,2795.5,2770.5,2795.25,1128990,ESH9
2019-02-21,35,1,18720,2785.75,2798.0,2764.25,2774.5,1381306,ESH9
2019-02-20,35,1,18720,2778.75,2790.75,2773.25,2786.0,1234683,ESH9
2019-02-19,35,1,18720,2776.0,2787.5,2766.0,2778.5,1017612,ESH9
2019-02-18,35,1,18720,2778.5,2780.5,2773.25,2775.75,126571,ESH9
2019-02-17,35,1,18720,2777.0,2782.5,2776.25,2778.75,14265,ESH9
2019-02-15,35,1,18720,2743.0,2778.5,2729.0,2777.75,1439314,ESH9
2019-02-14,35,1,18720,2750.5,2763.0,2730.25,2743.0,1646650,ESH9
2019-02-13,35,1,18720,2747.0,2762.0,2746.0,2750.5,1176272,ESH9
2019-02-12,35,1,18720,2708.75,2748.0,2708.25,2747.0,1261951,ESH9
2019-02-11,35,1,18720,2706.5,2721.5,2700.5,2708.75,1077273,ESH9
2019-02-10,35,1,18720,2710.75,2712.75,2706.25,2706.25,13608,ESH9
2019-02-08,35,1,18720,2697.5,2709.0,2680.75,2708.0,1503202,ESH9
2019-02-07,35,1,18720,2728.75,2729.25,2685.5,2697.5,1877424,ESH9
2019-02-06,35,1,18720,2731.5,2736.5,2722.25,2728.5,1142900,ESH9
2019-02-05,35,1,18720,2719.75,2737.75,2716.25,2731.5,1193526,ESH9
2019-02-04,35,1,18720,2702.75,2725.0,2697.0,2719.5,991192,ESH9
2019-02-03,35,1,18720,2699.25,2704.25,2698.0,2703.0,6730,ESH9
2019-02-01,35,1,18720,2704.25,2716.0,2695.5,2704.5,1393032,ESH9
