ts_event,S
2018-05-14,2730.0
2018-05-15,2710.1666666666665
2018-05-16,2726.125
2018-05-17,2728.4375
2018-05-18,2724.427488466612
2018-05-21,2738.625
2018-05-22,2740.6257393891765
2018-05-23,2736.5625
2018-05-24,2733.625
2018-05-25,2727.25
2018-05-28,2710.928834669863
2018-05-29,2694.0
2018-05-30,2728.5625
2018-05-31,2713.6875
2018-06-01,2740.0
2018-06-04,2752.4375
2018-06-05,2755.375
2018-06-06,2776.0
2018-06-07,2778.625
2018-06-08,2786.219806479013
2018-06-11,2792.5833333333335
2018-06-12,2797.6666666666665
2018-06-13,2787.25
2018-06-14,2792.5833333333335
2018-06-15,2785.8333333333335
2018-06-18,2772.9166666666665
2018-06-19,2771.5833333333335
2018-06-20,2774.1094647243967
2018-06-21,2759.4890987268245
2018-06-22,2752.9429989481073
2018-06-25,2734.553994802668
2018-06-26,2733.679716109883
2018-06-27,2718.9375
2018-06-28,2734.759148792191
2018-06-29,2732.8492821092264
2018-07-02,2739.173215176433
2018-07-03,2744.8987815332403
2018-07-04,2740.3568118924113
2018-07-05,2751.135694005401
2018-07-06,2755.8357150151905
2018-07-09,2773.499597062599
2018-07-10,2777.140863559064
2018-07-11,2781.937573131538
2018-07-12,2788.232919750535
2018-07-13,2801.608977904157
2018-07-16,2803.578894299342
2018-07-17,2808.626498051957
2018-07-18,2812.293822950544
2018-07-19,2815.289275339012
2018-07-20,2819.9081398160356
2018-07-23,2833.75789383478
2018-07-24,2838.9774847337762
2018-07-25,2843.6875
2018-07-26,2848.875
2018-07-27,2848.727756862721
2018-07-30,2834.0417866066978
2018-07-31,2831.09677081735
2018-08-01,2830.686329293804
2018-08-02,2838.6335631111833
2018-08-03,2844.40933173513
2018-08-06,2857.0
2018-08-07,2862.125216429789
2018-08-08,2859.1359046925836
2018-08-09,2856.5199571849694
2018-08-10,2853.5673387142615
2018-08-13,2857.86810397264
2018-08-14,2850.090848358061
2018-08-15,2851.083289474442
2018-08-16,2858.4223076081703
2018-08-17,2861.1714425084833
2018-08-20,2875.338101736325
2018-08-21,2861.0625
2018-08-22,2876.220417577871
2018-08-23,2866.0625
2018-08-24,2879.743959712928
2018-08-27,2906.0
2018-08-28,2908.0
2018-08-29,2912.2396796520675
2018-08-30,2908.883300218852
2018-08-31,2907.045603043311
2018-09-03,2900.811006579204
2018-09-04,2897.649187207549
2018-09-05,2897.92144097594
2018-09-06,2887.4375
2018-09-07,2884.5
2018-09-10,2900.3574049215663
2018-09-11,2903.6662195483696
2018-09-12,2896.8125
2018-09-13,2914.9375
2018-09-14,2924.9443309409885
2018-09-17,2925.2958768573108
2018-09-18,2921.5833333333335
2018-09-19,2926.0
2018-09-20,2948.5
2018-09-21,2944.8333333333335
2018-09-24,2934.3333333333335
2018-09-25,2925.969062310335
2018-09-26,2916.18034400479
2018-09-27,2917.198066768947
2018-09-28,2915.183383228611
2018-10-01,2909.712781812329
2018-10-02,2908.1022692973957
2018-10-03,2904.6284253374524
2018-10-04,2893.942860327831
2018-10-05,2880.2619503517244
2018-10-08,2842.2845552631406
2018-10-09,2828.0328841599185
2018-10-10,2789.0872129360355
2018-10-11,2764.9375
2018-10-12,2776.0
2018-10-15,2780.673481491971
2018-10-16,2788.266918468565
2018-10-17,2796.3901082371185
2018-10-18,2795.8814077484553
2018-10-19,2782.4375
2018-10-22,2772.4375
2018-10-23,2756.7759240161254
2018-10-24,2724.0413590010244
2018-10-25,2690.75
2018-10-26,2703.786114137968
2018-10-29,2669.0
2018-10-30,2723.319863407309
2018-10-31,2731.9375
2018-11-01,2748.935367021337
2018-11-02,2756.738269205808
2018-11-05,2783.10362467583
2018-11-06,2794.5256509825413
2018-11-07,2818.625
2018-11-08,2800.932393695386
2018-11-09,2791.790831423712
2018-11-12,2766.6203864203626
2018-11-13,2748.5625
2018-11-14,2750.3386800449603
2018-11-15,2747.842561262308
2018-11-16,2746.375
2018-11-19,2694.5238897262257
2018-11-20,2651.9375
2018-11-21,2670.3580571497514
2018-11-22,2665.0481937766094
2018-11-23,2671.800409748026
2018-11-26,2673.0
2018-11-27,2691.0625
2018-11-28,2747.75
2018-11-29,2756.827715077541
2018-11-30,2765.221443547929
2018-12-03,2798.0625
2018-12-04,2734.5
2018-12-05,2724.019638407998
2018-12-06,2693.75
2018-12-07,2661.4375
2018-12-10,2644.875
