ts_event,main_option_value,main_option_greeks,other_options_total_value,other_options_total_greeks,all_options_total_greeks,remaining_delta,future_value,futures_position,total_portfolio_value
2023-05-29,[11.79710415],"[[4.55153634e-01]
 [1.07709112e-04]
 [1.54747179e+03]]",-37.82432894163238,[-4.68922825e-01 -1.07709112e-04 -1.54747179e+03],[-1.37691914e-02  6.22281903e-14 -4.54747351e-13],[-0.01376919],[4383.75],[60.36069284],[34.33346804]
2023-05-30,[10.45497385],"[[4.30668395e-01]
 [1.23117510e-04]
 [1.56025633e+03]]",-41.19362553531353,[-4.45500161e-01 -1.23117510e-04 -1.56025633e+03],[-1.48317654e-02 -3.30058301e-13 -4.54747351e-13],[-0.01483177],[4382.],[64.99279614],[34.25414445]
2023-05-31,[11.83522276],"[[4.23770069e-01]
 [1.23729461e-04]
 [1.54048587e+03]]",-41.608860478536776,[-4.36367763e-01 -1.23729461e-04 -1.54048587e+03],[-1.25976938e-02  7.43581358e-14  0.00000000e+00],[-0.01259769],[4361.],[54.93854277],[25.16490504]
2023-06-01,[7.92799846],"[[4.21546236e-01]
 [1.25644249e-04]
 [1.53247009e+03]]",-37.43984764618497,[-4.37894163e-01 -1.25644249e-04 -1.53247009e+03],[-1.63479272e-02 -2.43548156e-13  0.00000000e+00],[-0.01634793],[4314.],[70.52495773],[41.01310854]
2023-06-02,[18.03451068],"[[4.27956615e-01]
 [1.21392531e-04]
 [1.54803475e+03]]",-53.935422063296926,[-4.43366448e-01 -1.21392531e-04 -1.54803475e+03],[-1.54098330e-02  1.10138163e-13  1.13686838e-12],[-0.01540983],[4425.],[68.18851092],[32.28759954]
2023-06-05,[22.59996597],"[[4.30953198e-01]
 [1.20928680e-04]
 [1.55551388e+03]]",-50.10561323261877,[-4.44624004e-01 -1.20928680e-04 -1.55551388e+03],[-1.36708065e-02 -1.66656429e-13 -9.09494702e-13],[-0.01367081],[4474.],[61.16318815],[33.65754089]
2023-06-06,[18.95829799],"[[4.13306688e-01]
 [1.25430031e-04]
 [1.51380397e+03]]",-56.796057444955565,[-4.30296558e-01 -1.25430031e-04 -1.51380397e+03],[-1.69898696e-02 -1.67021833e-13  1.13686838e-12],[-0.01698987],[4380.25],[74.41987637],[36.58211692]
2023-06-07,[15.26273129],"[[4.10733543e-01]
 [1.28865816e-04]
 [1.51671169e+03]]",-52.97915818888238,[-4.27809922e-01 -1.28865816e-04 -1.51671169e+03],[-1.70763797e-02  1.44725703e-13  2.27373675e-13],[-0.01707638],[4364.5],[74.52985932],[36.81343242]
2023-06-08,[31.86436068],"[[4.20922431e-01]
 [1.19510567e-04]
 [1.51736908e+03]]",-51.57904734400316,[-4.35381246e-01 -1.19510567e-04 -1.51736908e+03],[-1.44588155e-02 -1.25511567e-13 -2.27373675e-13],[-0.01445882],[4462.5],[64.52246432],[44.80777765]
2023-06-09,[17.19343688],"[[4.29220831e-01]
 [1.23522176e-04]
 [1.54843126e+03]]",-57.317311316513766,[-4.45412618e-01 -1.23522176e-04 -1.54843126e+03],[-1.61917878e-02  1.48576355e-15 -2.27373675e-13],[-0.01619179],[4440.],[71.8915379],[31.76766346]
2023-06-12,[16.10336612],"[[4.30878450e-01]
 [1.24576776e-04]
 [1.55195798e+03]]",-48.38429550778594,[-4.49453630e-01 -1.24576776e-04 -1.55195798e+03],[-1.85751801e-02 -1.48458096e-13 -4.54747351e-13],[-0.01857518],[4448.],[82.62240126],[50.34147186]
2023-06-13,[21.49718403],"[[4.35999030e-01]
 [1.23757321e-04]
 [1.56956822e+03]]",-55.21282317468476,[-4.52862785e-01 -1.23757321e-04 -1.56956822e+03],[-1.68637545e-02  2.14915840e-13 -2.27373675e-13],[-0.01686375],[4515.],[76.13985151],[42.42421236]
2023-06-14,[23.39278164],"[[4.42528632e-01]
 [1.23220091e-04]
 [1.58820414e+03]]",-66.32425402753213,[-4.55397250e-01 -1.23220091e-04 -1.58820414e+03],[-1.28686179e-02 -2.18644005e-14  2.27373675e-13],[-0.01286862],[4562.],[58.70663483],[15.77516245]
2023-06-15,[27.59804825],"[[4.49333932e-01]
 [1.21881967e-04]
 [1.60509820e+03]]",-73.10343969354349,[-4.63502536e-01 -1.21881967e-04 -1.60509820e+03],[-1.41686031e-02 -7.79927880e-14  4.54747351e-13],[-0.0141686],[4617.5],[65.42352494],[19.9181335]
2023-06-16,[23.75],"[[4.39810881e-01]
 [1.23671169e-04]
 [1.57748783e+03]]",-62.50503591492853,[-4.58248350e-01 -1.23671169e-04 -1.57748783e+03],[-1.84374685e-02  1.54180325e-14 -2.27373675e-13],[-0.01843747],[4550.5],[83.89970057],[45.14466465]
2023-06-19,[10.81963089],"[[4.47896403e-01]
 [1.28084803e-04]
 [1.60547450e+03]]",-47.45449049798273,[-4.66824963e-01 -1.28084802e-04 -1.60547450e+03],[-1.89285600e-02  3.45028639e-14 -4.54747351e-13],[-0.01892856],[4529.25],[85.73218036],[49.09732075]
2023-06-20,[42.41734549],"[[4.29295255e-01]
 [1.20800406e-04]
 [1.53455346e+03]]",-67.9532535141314,[-4.47293639e-01 -1.20800406e-04 -1.53455346e+03],[-1.79983849e-02 -3.26264921e-13 -9.09494702e-13],[-0.01799838],[4570.14814815],[82.25528526],[56.71937724]
2023-06-21,[21.63684652],"[[4.31976459e-01]
 [1.26174705e-04]
 [1.55148402e+03]]",-59.934958488894,[-4.48494530e-01 -1.26174705e-04 -1.55148402e+03],[-1.65180718e-02  2.23692592e-15  4.54747351e-13],[-0.01651807],[4506.75],[74.44282021],[36.14470824]
2023-06-22,[31.38971346],"[[4.24150897e-01]
 [1.23734946e-04]
 [1.52002194e+03]]",-52.27874630628121,[-4.42796402e-01 -1.23734946e-04 -1.52002194e+03],[-1.86455046e-02  1.67528697e-13 -1.13686838e-12],[-0.0186455],[4502.25],[83.94672293],[63.05769008]
